RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1642773814931	XUI Journeys for all Services	3.1.1
USER	Complete	1	START	1642773815442	1642773815442
REQUEST	1		CSRF check	1642773815470	1642773815580	OK	 
REQUEST	1		CCDlogin	1642773815674	1642773816318	OK	 
REQUEST	1		CCDlogin Redirect 1	1642773816325	1642773816855	OK	 
REQUEST	1		CCDlogin Redirect 2	1642773816859	1642773816903	OK	 
REQUEST	1		CCD Search	1642773821835	1642773827811	OK	 
REQUEST	1		CCD Search Redirect 1	1642773827814	1642773827888	OK	 
REQUEST	1		CCD Second Page Click	1642773829891	1642773831092	OK	 
REQUEST	1		CCD Second Page Click Redirect 1	1642773831094	1642773831270	OK	 
REQUEST	1		CCD CSV Download	1642773834273	1642773840425	OK	 
USER	Complete	1	END	1642773815442	1642773840504
