RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1642606200631	XUI Journeys for all Services	3.1.1
USER	Complete a Task	1	START	1642606201146	1642606201146
REQUEST	1		CSRF check	1642606201170	1642606201275	OK	 
REQUEST	1		CCDlogin	1642606201358	1642606201497	OK	 
USER	Complete a Task	1	END	1642606201146	1642606201504
USER	Complete a Task	2	START	1642606204152	1642606204152
REQUEST	2		CSRF check	1642606204154	1642606204219	OK	 
REQUEST	2		CCDlogin	1642606204228	1642606204323	OK	 
USER	Complete a Task	2	END	1642606204152	1642606204327
USER	Complete a Task	3	START	1642606207161	1642606207161
REQUEST	3		CSRF check	1642606207162	1642606207237	OK	 
REQUEST	3		CCDlogin	1642606207242	1642606207342	OK	 
USER	Complete a Task	3	END	1642606207161	1642606207345
USER	Complete a Task	4	START	1642606210161	1642606210161
REQUEST	4		CSRF check	1642606210191	1642606210268	OK	 
REQUEST	4		CCDlogin	1642606210273	1642606210596	OK	 
USER	Complete a Task	4	END	1642606210161	1642606210598
USER	Complete a Task	5	START	1642606213161	1642606213161
REQUEST	5		CSRF check	1642606213163	1642606213233	OK	 
REQUEST	5		CCDlogin	1642606213237	1642606213347	OK	 
USER	Complete a Task	5	END	1642606213161	1642606213348
USER	Complete a Task	6	START	1642606216161	1642606216161
REQUEST	6		CSRF check	1642606216163	1642606216239	OK	 
REQUEST	6		CCDlogin	1642606216242	1642606216378	OK	 
USER	Complete a Task	6	END	1642606216161	1642606216381
USER	Complete a Task	7	START	1642606219161	1642606219161
REQUEST	7		CSRF check	1642606219163	1642606219236	OK	 
REQUEST	7		CCDlogin	1642606219239	1642606219333	OK	 
USER	Complete a Task	7	END	1642606219161	1642606219335
USER	Complete a Task	8	START	1642606222162	1642606222162
REQUEST	8		CSRF check	1642606222163	1642606222228	OK	 
REQUEST	8		CCDlogin	1642606222231	1642606222335	OK	 
USER	Complete a Task	8	END	1642606222162	1642606222337
USER	Complete a Task	9	START	1642606225162	1642606225162
REQUEST	9		CSRF check	1642606225163	1642606225229	OK	 
REQUEST	9		CCDlogin	1642606225232	1642606225328	OK	 
USER	Complete a Task	9	END	1642606225162	1642606225330
USER	Complete a Task	10	START	1642606228162	1642606228162
REQUEST	10		CSRF check	1642606228163	1642606228222	OK	 
REQUEST	10		CCDlogin	1642606228226	1642606228366	OK	 
USER	Complete a Task	10	END	1642606228162	1642606228368
USER	Complete a Task	11	START	1642606231162	1642606231162
REQUEST	11		CSRF check	1642606231164	1642606231227	OK	 
REQUEST	11		CCDlogin	1642606231230	1642606231351	OK	 
USER	Complete a Task	11	END	1642606231162	1642606231353
USER	Complete a Task	12	START	1642606234160	1642606234160
REQUEST	12		CSRF check	1642606234161	1642606234223	OK	 
REQUEST	12		CCDlogin	1642606234226	1642606234324	OK	 
USER	Complete a Task	12	END	1642606234160	1642606234326
USER	Complete a Task	13	START	1642606237161	1642606237161
REQUEST	13		CSRF check	1642606237162	1642606237240	OK	 
REQUEST	13		CCDlogin	1642606237243	1642606237342	OK	 
USER	Complete a Task	13	END	1642606237161	1642606237343
USER	Complete a Task	14	START	1642606240162	1642606240162
REQUEST	14		CSRF check	1642606240163	1642606240231	OK	 
REQUEST	14		CCDlogin	1642606240234	1642606240342	OK	 
USER	Complete a Task	14	END	1642606240162	1642606240344
USER	Complete a Task	15	START	1642606243162	1642606243162
REQUEST	15		CSRF check	1642606243163	1642606243241	OK	 
REQUEST	15		CCDlogin	1642606243244	1642606243342	OK	 
USER	Complete a Task	15	END	1642606243162	1642606243344
USER	Complete a Task	16	START	1642606246162	1642606246162
REQUEST	16		CSRF check	1642606246163	1642606246233	OK	 
REQUEST	16		CCDlogin	1642606246236	1642606246339	OK	 
USER	Complete a Task	16	END	1642606246162	1642606246341
USER	Complete a Task	17	START	1642606249161	1642606249161
REQUEST	17		CSRF check	1642606249163	1642606249224	OK	 
REQUEST	17		CCDlogin	1642606249227	1642606249332	OK	 
USER	Complete a Task	17	END	1642606249161	1642606249334
USER	Complete a Task	18	START	1642606252161	1642606252161
REQUEST	18		CSRF check	1642606252163	1642606252231	OK	 
REQUEST	18		CCDlogin	1642606252234	1642606252331	OK	 
USER	Complete a Task	18	END	1642606252161	1642606252333
USER	Complete a Task	19	START	1642606255162	1642606255162
REQUEST	19		CSRF check	1642606255163	1642606255229	OK	 
REQUEST	19		CCDlogin	1642606255232	1642606255324	OK	 
USER	Complete a Task	19	END	1642606255162	1642606255325
USER	Complete a Task	20	START	1642606258162	1642606258162
REQUEST	20		CSRF check	1642606258163	1642606258231	OK	 
REQUEST	20		CCDlogin	1642606258234	1642606258329	OK	 
USER	Complete a Task	20	END	1642606258162	1642606258331
