RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1642606377222	XUI Journeys for all Services	3.1.1
USER	Complete a Task	1	START	1642606377733	1642606377733
REQUEST	1		CSRF check	1642606377763	1642606377876	OK	 
REQUEST	1		CCDlogin	1642606377966	1642606378077	OK	 
USER	Complete a Task	1	END	1642606377733	1642606378084
USER	Complete a Task	2	START	1642606380739	1642606380739
REQUEST	2		CSRF check	1642606380763	1642606380836	OK	 
REQUEST	2		CCDlogin	1642606380841	1642606380965	OK	 
USER	Complete a Task	2	END	1642606380739	1642606380969
USER	Complete a Task	3	START	1642606383738	1642606383738
REQUEST	3		CSRF check	1642606383740	1642606383817	OK	 
REQUEST	3		CCDlogin	1642606383823	1642606383916	OK	 
USER	Complete a Task	3	END	1642606383738	1642606383919
USER	Complete a Task	4	START	1642606386737	1642606386737
REQUEST	4		CSRF check	1642606386738	1642606386821	OK	 
REQUEST	4		CCDlogin	1642606386825	1642606386966	OK	 
USER	Complete a Task	4	END	1642606386737	1642606386968
USER	Complete a Task	5	START	1642606389739	1642606389739
REQUEST	5		CSRF check	1642606389740	1642606389825	OK	 
REQUEST	5		CCDlogin	1642606389829	1642606389928	OK	 
USER	Complete a Task	5	END	1642606389739	1642606389930
USER	Complete a Task	6	START	1642606392738	1642606392738
REQUEST	6		CSRF check	1642606392740	1642606392813	OK	 
REQUEST	6		CCDlogin	1642606392816	1642606393005	OK	 
USER	Complete a Task	6	END	1642606392738	1642606393007
USER	Complete a Task	7	START	1642606395739	1642606395739
REQUEST	7		CSRF check	1642606395740	1642606395810	OK	 
REQUEST	7		CCDlogin	1642606395814	1642606395906	OK	 
USER	Complete a Task	7	END	1642606395739	1642606395908
USER	Complete a Task	8	START	1642606398739	1642606398739
REQUEST	8		CSRF check	1642606398740	1642606398819	OK	 
REQUEST	8		CCDlogin	1642606398822	1642606398911	OK	 
USER	Complete a Task	8	END	1642606398739	1642606398914
USER	Complete a Task	9	START	1642606401738	1642606401738
REQUEST	9		CSRF check	1642606401739	1642606401807	OK	 
REQUEST	9		CCDlogin	1642606401811	1642606401934	OK	 
USER	Complete a Task	9	END	1642606401738	1642606401936
USER	Complete a Task	10	START	1642606404739	1642606404739
REQUEST	10		CSRF check	1642606404739	1642606404811	OK	 
REQUEST	10		CCDlogin	1642606404814	1642606405017	OK	 
USER	Complete a Task	10	END	1642606404739	1642606405019
USER	Complete a Task	11	START	1642606407738	1642606407738
REQUEST	11		CSRF check	1642606407739	1642606407804	OK	 
REQUEST	11		CCDlogin	1642606407808	1642606407912	OK	 
USER	Complete a Task	11	END	1642606407738	1642606407914
USER	Complete a Task	12	START	1642606410739	1642606410739
REQUEST	12		CSRF check	1642606410741	1642606410819	OK	 
REQUEST	12		CCDlogin	1642606410822	1642606410920	OK	 
USER	Complete a Task	12	END	1642606410739	1642606410922
USER	Complete a Task	13	START	1642606413739	1642606413739
REQUEST	13		CSRF check	1642606413741	1642606413807	OK	 
REQUEST	13		CCDlogin	1642606413811	1642606413927	OK	 
USER	Complete a Task	13	END	1642606413739	1642606413929
USER	Complete a Task	14	START	1642606416739	1642606416739
REQUEST	14		CSRF check	1642606416740	1642606416807	OK	 
REQUEST	14		CCDlogin	1642606416809	1642606416952	OK	 
USER	Complete a Task	14	END	1642606416739	1642606416953
USER	Complete a Task	15	START	1642606419737	1642606419737
REQUEST	15		CSRF check	1642606419738	1642606419813	OK	 
REQUEST	15		CCDlogin	1642606419817	1642606419912	OK	 
USER	Complete a Task	15	END	1642606419737	1642606419913
USER	Complete a Task	16	START	1642606422737	1642606422737
REQUEST	16		CSRF check	1642606422738	1642606422802	OK	 
REQUEST	16		CCDlogin	1642606422805	1642606422909	OK	 
USER	Complete a Task	16	END	1642606422737	1642606422911
USER	Complete a Task	17	START	1642606425737	1642606425737
REQUEST	17		CSRF check	1642606425738	1642606425800	OK	 
REQUEST	17		CCDlogin	1642606425803	1642606425901	OK	 
USER	Complete a Task	17	END	1642606425737	1642606425902
USER	Complete a Task	18	START	1642606428739	1642606428739
REQUEST	18		CSRF check	1642606428741	1642606428805	OK	 
REQUEST	18		CCDlogin	1642606428808	1642606428917	OK	 
USER	Complete a Task	18	END	1642606428739	1642606428919
USER	Complete a Task	19	START	1642606431739	1642606431739
REQUEST	19		CSRF check	1642606431740	1642606431799	OK	 
REQUEST	19		CCDlogin	1642606431802	1642606431910	OK	 
USER	Complete a Task	19	END	1642606431739	1642606431911
USER	Complete a Task	20	START	1642606434738	1642606434738
REQUEST	20		CSRF check	1642606434740	1642606434803	OK	 
REQUEST	20		CCDlogin	1642606434807	1642606434915	OK	 
USER	Complete a Task	20	END	1642606434738	1642606434917
