RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1642773581400	XUI Journeys for all Services	3.1.1
USER	Complete	1	START	1642773581901	1642773581901
REQUEST	1		CSRF check	1642773581927	1642773582019	OK	 
REQUEST	1		CCDlogin	1642773582114	1642773582551	OK	 
REQUEST	1		CCDlogin Redirect 1	1642773582559	1642773583288	OK	 
REQUEST	1		CCDlogin Redirect 2	1642773583292	1642773583938	OK	 
REQUEST	1		CCD Search	1642773588876	1642773594755	OK	 
REQUEST	1		CCD Search Redirect 1	1642773594758	1642773594831	OK	 
REQUEST	1		CCD Second Page Click	1642773596834	1642773598032	OK	 
REQUEST	1		CCD Second Page Click Redirect 1	1642773598034	1642773598120	OK	 
USER	Complete	1	END	1642773581901	1642773601112
